Time,Ampl
996091,3.77774
996092,3.77785
996093,3.77757
996094,3.77881
996095,3.8223
996096,3.8223
996097,3.82208
996098,3.8226
996099,3.82175
996100,3.82141
996101,3.82171
996102,3.82162
996103,3.83386
996104,3.86564
996105,3.86526
996106,3.86526
996107,3.86435
996108,3.86439
996109,3.86391
996110,3.86427
996111,3.86413
996112,3.90348
996113,3.90873
996114,3.90769
996115,3.9076
996116,3.9076
996117,3.90711
996118,3.90718
996119,3.90712
996120,3.90696
996121,3.95099
996122,3.95089
996123,3.95067
996124,3.95075
996125,3.94997
996126,3.94996
996127,3.94958
996128,3.94976
996129,3.9578
996130,3.9939
996131,3.99399
996132,3.99384
996133,3.99359
996134,3.99396
996135,3.99381
996136,3.99376
996137,3.99307
996138,4.00591
996139,4.03789
996140,4.03768
996141,4.03679
996142,4.03647
996143,4.03611
996144,4.03613
996145,4.0361
996146,4.03526
996147,4.04657
996148,4.07975
996149,4.07958
996150,4.07944
996151,4.07885
996152,4.0784
996153,4.07795
996154,4.0778
996155,4.08717
996156,4.12248
996157,4.12189
996158,4.12138
996159,4.12161
996160,4.12113
996161,4.12048
996162,4.1205
996163,4.12024
996164,4.14512
996165,4.16468
996166,4.16382
996167,4.16325
996168,4.16378
996169,4.16311
996170,4.16292
996171,4.16285
996172,4.16298
996173,4.20271
996174,4.20611
996175,4.20599
996176,4.20562
996177,4.20456
996178,4.20471
996179,4.2044
996180,4.20414
996181,4.20425
996182,4.2479
996183,4.24756
996184,4.24715
996185,4.24704
996186,4.24676
996187,4.24669
996188,4.24609
996189,2.59
996190,3.58234
996191,3.58213
996192,3.58162
996193,3.58138
996194,3.58133
996195,3.58075
996196,3.58072
996197,3.5807
996198,3.62456
996199,3.62422
996200,3.62414
996201,3.62416
996202,3.62407
996203,3.62373
996204,3.6236
996205,3.6234
996206,3.62366
996207,3.66769
996208,3.66757
996209,3.66722
996210,3.66683
996211,3.66658
996212,3.6671
996213,3.66682
996214,3.6667
996215,3.68672
996216,3.71067
996217,3.71063
996218,3.71044
996219,3.70989
996220,3.70974
996221,3.70974
996222,3.70996
996223,3.70951
996224,3.742
996225,3.75362
996226,3.75395
996227,3.75344
996228,3.75313
996229,3.75253
996230,3.75308
996231,3.75249
996232,3.75252
996233,3.79631
996234,3.79707
996235,3.79672
996236,3.79604
996237,3.79585
996238,3.79597
996239,3.79622
996240,3.79596
996241,3.79562
996242,3.83984
996243,3.8399
996244,3.83902
996245,3.8394
996246,3.83902
996247,3.83853
996248,3.83817
996249,3.8377
996250,3.85435
996251,3.88202
996252,3.88139
996253,3.88154
996254,3.88133
996255,3.88161
996256,3.88127
996257,3.88054
996258,3.88027
996259,3.90381
996260,3.92469
996261,3.92445
996262,3.92434
996263,3.92369
996264,3.92313
996265,3.92341
996266,3.92311
996267,3.92347
996268,3.95491
996269,3.96638
996270,3.96572
996271,3.96599
996272,3.96545
996273,3.96607
996274,3.96622
996275,3.96613
996276,3.96513
996277,4.00897
996278,4.00979
996279,4.00982
996280,4.00959
996281,4.00896
996282,4.00903
996283,4.00887
996284,4.00867
996285,4.0086
996286,4.0517
996287,4.0518
996288,4.05142
996289,4.05199
996290,4.05101
996291,4.05109
996292,4.05119
996293,4.05117
996294,4.09476
996295,4.09483
996296,4.09461
996297,4.09426
996298,4.0938
996299,4.09353
996300,4.09333
996301,4.09282
996302,4.1048
996303,4.13601
996304,4.13544
996305,4.13533
996306,4.13547
996307,4.135
996308,4.13504
996309,4.13508
996310,4.1342
996311,4.15741
996312,4.17762
996313,4.17759
996314,4.17745
996315,4.17665
996316,4.1767
996317,4.17645
996318,4.17671
996319,4.17623
996320,4.2081
996321,4.2194
996322,4.21936
996323,4.21965
996324,4.21926
996325,4.21828
996326,4.21779
996327,4.21853
996328,4.21818
996329,2.53999
996330,3.56085
996331,3.55967
996332,3.55886
996333,3.55877
996334,3.55872
996335,3.55853
996336,3.55754
996337,3.55822
996338,3.5854
996339,3.60081
996340,3.60112
996341,3.60071
996342,3.60066
996343,3.60106
996344,3.60023
996345,3.60057
996346,3.60092
996347,3.64442
996348,3.64425
996349,3.64387
996350,3.64416
996351,3.64409
996352,3.64383
996353,3.64368
996354,3.64372
996355,3.65197
996356,3.6872
996357,3.68717
996358,3.68725
996359,3.68687
996360,3.6875
996361,3.68716
996362,3.6877
996363,3.68692
996364,3.70651
996365,3.73055
996366,3.73025
996367,3.73028
996368,3.73056
996369,3.73023
996370,3.73019
996371,3.73078
996372,3.73017
996373,3.76699
996374,3.77358
996375,3.77374
996376,3.77369
996377,3.77386
996378,3.77375
996379,3.77353
996380,3.77321
996381,3.77272
996382,3.81658
996383,3.81614
996384,3.81569
996385,3.81546
996386,3.8148
996387,3.81487
996388,3.81497
996389,3.81523
996390,3.84303
996391,3.85914
996392,3.8588
996393,3.85847
996394,3.85839
996395,3.85804
996396,3.85849
996397,3.85805
996398,3.8582
996399,3.90145
996400,3.90096
996401,3.9009
996402,3.90074
996403,3.90039
996404,3.89977
996405,3.90017
996406,3.90031
996407,3.89997
996408,3.92304
996409,3.94306
996410,3.94363
996411,3.9429
996412,3.94302
996413,3.94212
996414,3.94228
996415,3.94229
996416,3.94147
996417,3.97243
996418,3.98628
996419,3.98584
996420,3.98574
996421,3.98528
996422,3.98536
996423,3.98506
996424,3.98536
996425,3.98527
996426,4.02872
996427,4.02844
996428,4.02761
996429,4.02833
996430,4.02818
996431,4.02837
996432,4.02736
996433,4.02756
996434,4.02864
996435,4.07086
996436,4.07074
996437,4.07049
996438,4.06963
996439,4.06956
996440,4.06933
996441,4.06888
996442,4.06918
996443,4.07948
996444,4.11273
996445,4.1126
996446,4.11223
996447,4.11261
996448,4.11257
996449,4.11183
996450,4.11127
996451,4.11184
996452,4.12788
996453,4.15425
996454,4.15507
996455,4.15426
996456,4.15477
996457,4.15468
996458,4.15446
996459,4.15337
996460,4.15331
996461,4.17339
996462,4.19608
996463,4.19638
996464,4.19565
996465,4.19566
996466,4.19487
996467,4.19459
996468,4.19489
996469,4.19459
996470,2.5844
996471,3.54374
996472,3.54274
996473,3.5425
996474,3.54227
996475,3.542
996476,3.54162
996477,3.54206
996478,3.54105
996479,3.58434
996480,3.58511
996481,3.5843
996482,3.58453
996483,3.58434
996484,3.58477
996485,3.58424
996486,3.58386
996487,3.61362
996488,3.62737
996489,3.62727
996490,3.62708
996491,3.62725
996492,3.62721
996493,3.62681
996494,3.62694
996495,3.62663
996496,3.67048
996497,3.67001
996498,3.67013
996499,3.66965
996500,3.67005
996501,3.6699
996502,3.66961
996503,3.66885
996504,3.67234
996505,3.71342
996506,3.71339
996507,3.71327
996508,3.71378
996509,3.71334
996510,3.71328
996511,3.71293
996512,3.71343
996513,3.72885
996514,3.75695
996515,3.75692
996516,3.75671
996517,3.75588
996518,3.75536
996519,3.75584
996520,3.75625
996521,3.75573
996522,3.78179
996523,3.79975
996524,3.79886
996525,3.79906
996526,3.79908
996527,3.7991
996528,3.79964
996529,3.79937
996530,3.79891
996531,3.82803
996532,3.84228
996533,3.84217
996534,3.84237
996535,3.84221
996536,3.84147
996537,3.8415
996538,3.84161
996539,3.84153
996540,3.87834
996541,3.88428
996542,3.88436
996543,3.88422
996544,3.88391
996545,3.88384
996546,3.88373
996547,3.88415
996548,3.88378
996549,3.92528
996550,3.92717
996551,3.92711
996552,3.92664
996553,3.92661
996554,3.92664
996555,3.92566
996556,3.92594
996557,3.92602
996558,3.9698
996559,3.97
996560,3.96955
996561,3.97014
996562,3.96943
996563,3.96907
996564,3.96879
996565,3.96851
996566,3.97709
996567,4.01181
996568,4.01171
996569,4.01189
996570,4.01163
996571,4.01135
996572,4.01144
996573,4.01156
996574,4.01108
996575,4.02671
996576,4.05469
996577,4.05467
996578,4.05416
996579,4.05393
996580,4.05407
996581,4.05415
996582,4.05372
996583,4.05389
996584,4.07854
