Time,Ampl
997506,1.75483
997507,1.75463
997508,1.75477
997509,1.75496
997510,1.75502
997511,1.76521
997512,1.81518
997513,1.81784
997514,1.81807
997515,1.81835
997516,1.81848
997517,1.81836
997518,1.81827
997519,1.8186
997520,1.87851
997521,1.88146
997522,1.88202
997523,1.88197
997524,1.8818
997525,1.88218
997526,1.88213
997527,1.88246
997528,1.92196
997529,1.9436
997530,1.94526
997531,1.94523
997532,1.94517
997533,1.94533
997534,1.94552
997535,1.94527
997536,1.97107
997537,2.00597
997538,2.00838
997539,2.00862
997540,2.00871
997541,2.00891
997542,2.00861
997543,2.00887
997544,2.00918
997545,2.06163
997546,2.07011
997547,2.0713
997548,2.0715
997549,2.07145
997550,2.07191
997551,2.07182
997552,2.07208
997553,2.09891
997554,2.13243
997555,2.13451
997556,2.13466
997557,2.13467
997558,2.13488
997559,2.13475
997560,2.13469
997561,2.13514
997562,2.19448
997563,2.19736
997564,2.1976
997565,2.19775
997566,2.19759
997567,2.19774
997568,2.19779
997569,2.1978
997570,0.130935
997571,1.49557
997572,1.98622
997573,1.98431
997574,1.98407
997575,1.98406
997576,1.98397
997577,1.98447
997578,1.98429
997579,2.00196
997580,2.09862
997581,2.09761
997582,2.09774
997583,2.09812
997584,2.09745
997585,2.09713
997586,2.09701
997587,2.09704
997588,2.20731
997589,2.21055
997590,2.2101
997591,2.20979
997592,2.2096
997593,2.21009
997594,2.20903
997595,2.20882
997596,2.24391
997597,2.32057
997598,2.32027
997599,2.32053
997600,2.31935
997601,2.31995
997602,2.31933
997603,2.31961
997604,2.3195
997605,2.41981
997606,2.43075
997607,2.43056
997608,2.43005
997609,2.4304
997610,2.43005
997611,2.43011
997612,2.42986
997613,2.4472
997614,2.54213
997615,2.54143
997616,2.54072
997617,2.54057
997618,2.54115
997619,2.54081
997620,2.54116
997621,2.54071
997622,2.64782
997623,2.65215
997624,2.65192
997625,2.65126
997626,2.65145
997627,2.65095
997628,2.65059
997629,2.65063
997630,2.67868
997631,2.76209
997632,2.76147
997633,2.76205
997634,2.76104
997635,2.76104
997636,2.76102
997637,2.76142
997638,2.76126
997639,2.85177
997640,2.87262
997641,2.87079
997642,2.87154
997643,2.87108
997644,2.87152
997645,2.86964
997646,2.87125
997647,2.88404
997648,2.98282
997649,2.98198
997650,2.98189
997651,2.98118
997652,2.98119
997653,2.98061
997654,2.97982
997655,2.97902
997656,3.05824
997657,3.09032
997658,3.09143
997659,3.09143
997660,3.09056
997661,3.09141
997662,3.09042
997663,3.091
997664,2.81166
997665,1.41871
997666,1.97628
997667,1.97465
997668,1.97483
997669,1.97544
997670,1.9752
997671,1.97374
997672,1.97392
997673,1.99374
997674,2.08286
997675,2.08212
997676,2.08148
997677,2.08119
997678,2.08057
997679,2.08012
997680,2.07981
997681,2.08005
997682,2.18912
997683,2.18908
997684,2.18794
997685,2.18731
997686,2.18711
997687,2.18664
997688,2.18678
997689,2.18682
997690,2.29523
997691,2.29502
997692,2.29429
997693,2.29362
997694,2.29363
997695,2.29329
997696,2.29301
997697,2.2927
997698,2.36497
997699,2.40158
997700,2.40089
997701,2.40013
997702,2.3999
997703,2.39906
997704,2.39836
997705,2.3983
997706,2.44111
997707,2.50761
997708,2.50649
997709,2.50554
997710,2.50541
997711,2.50535
997712,2.50518
997713,2.50436
997714,2.52249
997715,2.61637
997716,2.61633
997717,2.61485
997718,2.61125
997719,2.60985
997720,2.60891
997721,2.60862
997722,2.60842
997723,2.65033
997724,2.71559
997725,2.71463
997726,2.71368
997727,2.71311
997728,2.71273
997729,2.71215
997730,2.71238
997731,2.71188
997732,2.81369
997733,2.76537
997734,2.75423
997735,2.75403
997736,2.75465
997737,2.75512
997738,2.75448
997739,2.75488
997740,2.81175
997741,2.86432
997742,2.86028
997743,2.86053
997744,2.86009
997745,2.8597
997746,2.85874
997747,2.85933
997748,2.8915
997749,2.9666
997750,2.9649
997751,2.96457
997752,2.96446
997753,2.9644
997754,2.96394
997755,2.96383
997756,2.96394
997757,0.847453
997758,1.35221
997759,1.73658
997760,1.73573
997761,1.73548
997762,1.73555
997763,1.73556
997764,1.73546
997765,1.73496
997766,1.78198
997767,1.83281
997768,1.83253
